,PLAYER,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG
537,Elliot Lee,5,1,0.20,2,0.40,0,0.00,-3,-0.60,121,24.20,95.30,69,13.80
538,Alexander Isik,6,1,0.17,0,0.00,0,0.00,-3,-0.50,31,5.17,91.20,58,9.67
539,Stephanie Lim,4,1,0.25,0,0.00,1,0.25,-3,-0.75,73,18.25,93.60,56,14.00
540,Aaron Shi,5,1,0.20,2,0.40,2,0.40,-2,-0.40,62,12.40,91.20,73,14.60
541,Brian Roach,8,1,0.13,4,0.50,2,0.25,4,0.50,22,2.75,88.00,91,11.38
542,Robert Yeagle,2,1,0.50,2,1.00,1,0.50,3,1.50,11,5.50,91.70,24,12.00
543,David Hammer,1,1,1.00,0,0.00,0,0.00,1,1.00,1,1.00,100.00,11,11.00
544,Ben Levinsky,6,1,0.17,1,0.17,1,0.17,0,0.00,23,3.83,92.00,92,15.33
545,Mike Campanella,5,1,0.20,1,0.20,2,0.40,3,0.60,8,1.60,88.90,74,14.80
546,Nicholas Dacquisto,3,1,0.33,0,0.00,2,0.67,2,0.67,5,1.67,83.30,62,20.67
547,Rami Paust,3,1,0.33,5,1.67,3,1.00,7,2.33,27,9.00,93.10,46,15.33
548,Kyle Dreger,1,1,1.00,0,0.00,0,0.00,1,1.00,6,6.00,100.00,10,10.00
549,Luke Marks,1,1,1.00,0,0.00,1,1.00,2,2.00,5,5.00,100.00,11,11.00
550,Christopher Miller,5,1,0.20,0,0.00,3,0.60,3,0.60,10,2.00,90.90,59,11.80
551,Brian Howard,2,1,0.50,0,0.00,0,0.00,1,0.50,2,1.00,100.00,17,8.50
552,Jesse White,1,1,1.00,0,0.00,0,0.00,1,1.00,6,6.00,100.00,13,13.00
553,Sam Gabrielson,2,1,0.50,0,0.00,0,0.00,0,0.00,12,6.00,92.30,24,12.00
554,Abe Gambert,7,1,0.14,0,0.00,4,0.57,2,0.29,37,5.29,92.50,71,10.14
555,Zachary Cotter,3,1,0.33,0,0.00,4,1.33,5,1.67,3,1.00,100.00,29,9.67
556,Daniel Bates,9,1,0.11,3,0.33,2,0.22,1,0.11,41,4.56,89.10,68,7.56
557,Shintaro Tsukamoto,5,1,0.20,1,0.20,1,0.20,2,0.40,5,1.00,83.30,36,7.20
558,James Baker Jr,2,1,0.50,1,0.50,0,0.00,-3,-1.50,16,8.00,76.20,38,19.00
559,Erich Phang-Lynn,10,1,0.10,1,0.10,0,0.00,-1,-0.10,24,2.40,88.90,91,9.10
560,Sam Feder,10,1,0.10,3,0.30,1,0.10,3,0.30,26,2.60,96.30,70,7.00
561,Tristan Yarter,8,1,0.13,3,0.38,3,0.38,4,0.50,24,3.00,88.90,74,9.25
562,Kris Harrison,5,1,0.20,1,0.20,3,0.60,4,0.80,10,2.00,100.00,53,10.60
563,Kenta Kawaguchi,5,1,0.20,0,0.00,2,0.40,2,0.40,3,0.60,75.00,44,8.80
564,Kyle Vezina,2,1,0.50,0,0.00,3,1.50,4,2.00,4,2.00,100.00,17,8.50
565,Danny Krug,3,1,0.33,1,0.33,1,0.33,2,0.67,3,1.00,100.00,36,12.00
566,Kevin Versteeg,7,1,0.14,0,0.00,6,0.86,2,0.29,15,2.14,83.30,92,13.14
567,Scott Hearne,4,1,0.25,2,0.50,3,0.75,5,1.25,23,5.75,95.80,50,12.50
568,John Holk,3,1,0.33,0,0.00,1,0.33,2,0.67,2,0.67,100.00,42,14.00
569,Zach Ormsby,4,1,0.25,0,0.00,0,0.00,1,0.25,7,1.75,100.00,46,11.50
570,Connor Boyle,3,1,0.33,8,2.67,1,0.33,2,0.67,92,30.67,92.00,62,20.67
571,Simon Walker,4,1,0.25,0,0.00,1,0.25,-1,-0.25,7,1.75,77.80,36,9.00
572,Justin Kinkead,2,0,0.00,0,0.00,0,0.00,0,0.00,3,1.50,100.00,14,7.00
573,Tron Bass,4,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,6,1.50
574,Jordan Ciccarone,4,0,0.00,1,0.25,0,0.00,-3,-0.75,28,7.00,90.30,47,11.75
575,Evan Valdes,2,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,14,7.00
576,Phil Chang,5,0,0.00,2,0.40,1,0.20,3,0.60,16,3.20,100.00,48,9.60
577,Karl Fauerbach,9,0,0.00,3,0.33,1,0.11,-7,-0.78,106,11.78,90.60,116,12.89
578,Drew Wilson,1,0,0.00,0,0.00,0,0.00,0,0.00,4,4.00,100.00,10,10.00
